Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,RPSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-2628.398836,-2785.401046,-2780.724168,-2784.792185,-2766.527236,-2762.995958,-2768.746614,-1899.595559,-1959.449798,-2127.809078,-2146.996707,-619.126372,-861.0877395,-591.2992358,-793.2391018,-1921.244413,-1936.777383,-2138.495594,-2049.739361,149.0637939,-149.1002925,-30.58423288,278.1838179,1289.225817,1098.858565,1407.223791,1070.577279,88.07479404,-224.4946174,-49.10029247,-5007.106066,-5355.600119,-5359.095931,-5364.576578,-5353.2058,-5363.327265,-5376.176834,-5783.405304,-5870.925188,-5053.79498,-5054.937005,-4658.422768,-4573.626816,-2396.845967,-2107.003033,-774.2171735,-243.3813736,-697.3534077,-125.455074,-12.17094017,6.823649746,4081.87151,3869.198561,7812.578678,7851.490974,8265.334368,8359.771967,8506.302238,8701.319098,6.823649746,-292.9663658,-517.0031264,-511.2324655,-511.4098266,-149.6195514,-154.635543,-145.4614475,-1110.361591,429.8842326,-497.1893877,-42.86351148,-1944.939047,1417.114437,-2498.872578,1994.737685,-2254.058719,1219.7759,-2202.405334,1059.981436,-980.1531583,994.0240532,-885.5108172,1909.038275,-1153.453514,2387.635261,-1258.009821,2399.022877,-2115.810066,1961.971074,994.0240532
10.5,-2702.138722,-2859.742343,-2855.599523,-2859.812379,-2835.427225,-2832.297087,-2838.32252,-1974.086463,-1982.518435,-2200.395763,-2201.24796,-787.4013484,-745.6120104,-1591.087729,-505.9311539,-2930.107117,-1527.37096,-3060.025275,-1603.111029,57.60084838,-57.45935254,-732.2631031,526.3041332,-66.00718014,1892.102659,-11.6512028,1944.891363,-1225.466505,884.4104409,42.54064746,-5018.527508,-5371.45555,-5374.307632,-5379.231572,-5367.68198,-5378.251672,-5389.980078,-5756.957531,-5893.525481,-5042.988062,-5052.034855,-4600.869119,-4643.148184,-2351.752818,-2213.057131,-740.5465096,-225.9431593,-691.9205189,-103.5862043,-11.83481654,6.570926053,4068.261981,3833.208978,7760.803699,7763.826251,8209.128976,8273.698688,8433.243036,8607.641459,6.570926053,-129.2021666,-375.6102175,-370.6526011,-370.4861552,4.877531901,-0.339461221,7.839839091,-1035.67481,546.6735363,-360.3808954,109.9895593,-1909.223199,1513.711214,-2398.528159,2171.015888,-1650.051773,1486.577094,-1594.263315,1335.713714,-974.1906822,987.3536974,-902.3553133,1732.866913,-1068.584099,2024.816871,-1154.935956,2025.967091,-1906.856298,1659.01348,987.3536974
11,-2638.190687,-2813.201249,-2808.397114,-2812.353075,-2775.971591,-2772.239447,-2777.414322,-1931.180656,-1926.387846,-2128.581852,-2130.503058,-793.7693596,-686.3855571,-1705.677062,-435.8953238,-2873.644829,-1485.212147,-3000.200689,-1582.874209,160.4154706,-160.0596868,489.7871614,-674.0012765,1994.761229,-982.1441025,2131.358236,-1113.974303,789.1532034,-2533.823252,-60.05968675,-4961.647093,-5293.342471,-5296.828747,-5302.3386,-5329.871774,-5340.184569,-5353.84059,-5712.324381,-5945.117474,-5001.161098,-5056.505203,-4530.211687,-4714.487195,-2255.182713,-2227.352262,-551.1270091,-179.9752191,-432.8696057,-30.77026224,10.42511663,-15.67943487,4018.94778,3824.153841,7760.040164,7811.015844,8223.825693,8318.351507,8527.489305,8622.066379,-15.67943487,-239.5261452,-502.0675063,-497.2585663,-495.9757254,-115.0642335,-120.2104334,-111.0524405,-1222.797856,399.7233137,-498.5112324,-23.14139158,-2219.611257,1450.483948,-2602.742016,2005.046159,-1864.409149,1393.378526,-1821.021587,1249.42109,-1012.018993,1023.808494,-802.9298484,1732.622981,-586.8798867,2101.587951,-642.4017251,2070.626467,-1537.21869,1565.351188,1023.808494
11.5,-2560.552359,-2720.687985,-2716.370225,-2720.333338,-2678.5326,-2674.784064,-2680.721283,-1846.173555,-1813.19654,-2059.385478,-2054.243088,-753.2692701,-694.622919,-1881.737709,-473.4968394,-3133.981824,-1484.385431,-3242.70159,-1554.47498,223.2633904,-224.5428599,213.1400257,-490.8091947,1080.700681,401.208587,1117.646322,396.264568,-221.797917,-707.9581171,-124.5428599,-4951.815903,-5278.941989,-5282.422304,-5287.767649,-5318.620801,-5328.674316,-5341.799855,-5690.06741,-5973.852277,-4994.762838,-5056.816936,-4521.121085,-4721.89188,-2218.500823,-2224.180698,-514.2297968,-74.71979596,-384.070389,79.01960053,10.35123365,-15.6100723,4000.320733,3822.542429,7446.138859,7731.536031,7903.010249,8229.733109,8545.463681,8682.181835,-15.6100723,-149.9504969,-410.5579853,-405.3656384,-404.1464627,-33.22304226,-38.50160167,-31.00815695,-1127.818897,470.6791043,-394.4455087,70.7633188,-2076.116949,1486.032605,-2458.694577,2046.123743,-1716.877818,1402.487755,-1671.290398,1270.278096,-1019.208208,1030.531749,-939.0099347,1556.61881,-815.4930174,2123.945802,-866.7729795,2140.247971,-1725.099534,1656.416804,1030.531749
12,-2328.346372,-2516.640425,-2512.556612,-2516.883016,-2473.829538,-2469.940782,-2475.896776,-1670.639813,-1640.180349,-1830.254495,-1827.224195,-608.0647185,-531.8655446,-1657.064408,-534.2796072,-2797.065675,-1692.342013,-2920.839787,-1772.755086,199.3516274,-199.9409683,66.58413913,-105.9605461,917.5506979,796.5052128,984.7617894,790.1132852,-338.5104612,-292.6208638,-99.9409683,-5021.883845,-5346.639156,-5350.594521,-5355.609655,-5371.589065,-5381.737351,-5394.601226,-5758.086443,-5976.049304,-5073.295236,-5111.138821,-4614.854157,-4770.017564,-2239.227146,-2260.75843,-494.691357,-223.1333964,-358.6980328,-80.06411605,21.37731062,-27.13572932,3991.724253,3820.930421,7641.949058,7588.313818,8098.320961,8070.357442,8449.97108,8495.687842,-27.13572932,-149.2330059,-401.2402147,-395.638831,-394.5822269,-29.75160023,-34.91687588,-27.23402344,-1089.302301,475.6110534,-382.1077943,76.48267318,-1980.770081,1495.274901,-2401.608229,2081.958503,-1762.381196,1397.767365,-1717.850417,1257.929951,-1007.473022,1019.825265,-694.879517,2002.188861,-508.158803,2792.860568,-557.7364191,2839.63263,-1429.814547,2443.85004,1019.825265
12.5,-2313.690782,-2475.838065,-2471.300811,-2475.317866,-2437.038422,-2432.975322,-2438.602895,-1586.252302,-1563.279182,-1813.323051,-1809.53294,-515.3692514,-512.0124295,-1356.888413,-513.5896429,-2389.480174,-1625.473201,-2514.93901,-1694.925725,186.2406358,-186.2134039,19.23262025,52.16554739,938.6163205,985.3749722,1014.424488,982.1647406,-320.3079477,-113.550676,-86.21340394,-5066.490173,-5397.322178,-5401.4045,-5406.281352,-5412.167907,-5422.403812,-5435.202718,-5777.788162,-5970.330834,-5100.285411,-5129.486918,-4600.85243,-4744.875729,-2180.170119,-2169.899642,-391.5626556,-150.9252284,-250.4839376,-0.059030594,23.07456918,-28.97812985,3985.061347,3825.728595,7673.627734,7611.185312,8128.567338,8092.555404,8424.983621,8498.960733,-28.97812985,-211.7988653,-460.3029042,-454.4919729,-454.1131482,-83.77507329,-89.10818957,-81.84626698,-1133.27302,445.6271976,-441.3284734,24.79619347,-1996.024847,1448.351145,-2422.884852,1990.698576,-1820.29441,1245.395988,-1778.928936,1092.530936,-996.9453514,1010.180116,-739.1876727,1935.031414,-677.716583,2705.979943,-748.834163,2753.195167,-1643.903255,2288.192511,1010.180116
13,-2363.674492,-2506.968975,-2502.109408,-2506.239414,-2464.087903,-2460.036278,-2464.86038,-1582.761109,-1568.47626,-1860.07902,-1852.871627,-548.6061424,-490.4103652,-1276.213825,-450.4667222,-2240.297198,-1539.183557,-2355.199605,-1605.505198,112.6987301,-111.9440142,-455.6924105,-156.7924581,932.5423837,882.1393549,1042.160541,881.2844753,-342.1039507,-356.1550379,-11.94401421,-5121.236444,-5456.440449,-5460.586548,-5465.776324,-5473.882556,-5483.934879,-5497.060418,-5801.689029,-6001.446843,-5135.101676,-5170.000196,-4565.17905,-4752.675295,-2098.062634,-2159.651816,-292.6160954,-129.4541173,-163.7104712,19.84982984,26.33562544,-32.22266911,3967.752755,3799.504936,7610.54337,7520.327568,8048.920035,8001.300693,8314.864635,8412.831426,-32.22266911,-398.2508928,-644.9116021,-639.5372003,-638.4783983,-259.6617676,-265.0249936,-257.7974834,-1323.811561,292.5532311,-634.3109161,-155.1628951,-2208.818942,1364.014894,-2624.877691,1910.745949,-1923.981607,1136.787012,-1881.542802,981.4678133,-1038.99464,1052.855253,-954.3707967,2308.06008,-1046.32929,3183.909357,-1121.740043,3233.137429,-1907.824427,2984.033227,1052.855253
13.5,-2136.964202,-2168.209702,-2163.531333,-2167.6597,-2142.502964,-2138.68171,-2143.652439,-1137.315482,-1160.042062,-1636.85441,-1644.866467,-288.1100401,-289.0637517,-1160.21134,-440.1001334,-2598.09196,-1566.934139,-2704.502344,-1627.780199,102.9081363,-102.6084181,-440.1251674,-254.1899122,949.2115676,715.9808278,1060.266122,706.9770992,-220.9214121,-508.1241578,-2.608418092,-5501.404405,-5847.15426,-5850.692987,-5855.614543,-5857.892036,-5867.624879,-5880.199075,-6013.088822,-6188.614368,-5419.223905,-5448.298454,-4599.359632,-4756.61844,-2247.655541,-2189.920098,-1232.370511,-598.3448029,-1268.841326,-556.1267212,18.05873122,-24.10189947,3960.26969,3786.667883,7576.577663,7578.953505,8008.344173,8057.410717,8245.49377,8433.340788,-24.10189947,-378.7064925,-631.769374,-626.1716783,-625.1960993,-241.6613512,-247.2336963,-239.4308522,-1277.272403,354.2847559,-596.7980996,-113.2183801,-2084.141076,1432.859004,-2378.920764,1958.127767,-1647.99735,1103.027388,-1587.764323,943.4423596,-1047.29794,1061.178073,-1067.002341,2049.880326,-1221.679971,2675.129473,-1299.699694,2687.901855,-2094.588578,2353.280187,1061.178073
14,-1920.893341,-1939.502507,-1935.165226,-1939.638704,-1922.94538,-1918.8869,-1924.065351,-923.1458604,-973.9860147,-1420.847028,-1439.442337,-80.21668531,-192.3067681,-1761.789173,-1332.415789,-3611.989319,-2596.714795,-3687.047064,-2622.776628,92.58050472,-93.40794757,-496.0280284,37.39312524,1175.508127,1084.113196,1372.482479,1107.227057,471.8500003,51.5344413,6.59205243,-5493.995547,-5840.319395,-5843.290091,-5847.47076,-5847.434402,-5857.274532,-5869.820714,-6033.532619,-6205.431819,-5426.700115,-5453.031659,-4672.261178,-4682.337046,-2941.872776,-2727.309167,-2963.728905,-1822.672337,-3115.96781,-1881.383955,-10.10023057,4.272931255,3986.55653,3891.234696,7488.344908,7592.527866,7908.46169,8066.818714,8331.353068,8529.781699,4.272931255,-167.4892195,-423.6886278,-417.9699346,-418.006815,-44.99803763,-52.94363014,-44.79777999,-1038.948298,535.5591699,-366.7055443,95.10632604,-1838.929057,1505.917609,-2391.859293,2393.991649,-2449.689507,2240.198404,-2382.19142,2124.471664,-1039.154753,1052.573398,-1075.184569,1513.260752,-954.0805221,1790.894121,-983.5279733,1785.821617,-1408.415884,1438.76642,1052.573398
14.5,-2112.889737,-2093.252242,-2088.984847,-2093.372643,-2070.578188,-2067.462355,-2071.512192,-1098.527312,-1091.316044,-1637.474597,-1635.182798,-517.1465874,-375.4761815,-3011.002541,-2273.004949,-4852.363467,-4257.279932,-4866.858125,-4342.833757,33.39433111,-34.91301322,-976.8102318,240.4908463,-75.45602508,1906.022578,-1.103326358,1991.521567,-1154.913381,1106.79388,65.08698678,-5687.424541,-6043.59746,-6045.52865,-6049.169302,-6057.910919,-6068.335772,-6080.593467,-6069.033742,-6249.036193,-5524.199605,-5554.032326,-4671.194553,-4657.285511,-3858.20359,-3754.130006,-4465.377033,-4082.64488,-4598.715603,-4190.075099,-24.23408674,18.77531642,3967.537284,3884.647787,7562.560439,7629.374862,8001.375198,8097.163439,8296.853304,8537.980318,18.77531642,3.593259607,-231.0898341,-224.9134518,-223.9280194,135.4815625,129.2200852,137.3866294,-847.7822691,658.8344276,-202.8295584,237.7991937,-1708.984077,1638.152152,-2234.658301,2536.191046,-2004.434615,2437.619567,-1923.999488,2316.859514,-1024.799049,1036.04041,-1251.409799,1668.480039,-1518.271565,2086.229622,-1601.461768,2098.999768,-2308.294028,1827.810258,1036.04041
15,-1977.236718,-1940.718144,-1936.458051,-1941.365004,-1914.542317,-1911.168396,-1915.266961,-967.5932676,-958.2807869,-1524.47626,-1524.830759,-424.7110337,-311.8105419,-3117.12265,-2302.751392,-4823.65191,-4071.576297,-4803.994596,-4131.491482,82.61891082,-84.63285863,114.706587,-363.3233532,1292.895377,-149.225872,1378.953904,-250.7570945,73.88941944,-1492.280811,15.36714137,-5723.406076,-6079.19395,-6081.79152,-6085.182428,-6100.16644,-6109.822989,-6122.398376,-6087.519526,-6287.255287,-5567.040443,-5596.07327,-4649.754465,-4793.102145,-4023.822546,-4624.30954,-4956.454635,-5363.382697,-5120.610595,-5466.516018,-18.71495158,13.13369721,3980.634809,3832.547069,7620.510459,7562.832236,8076.964021,8063.009977,8363.161087,8327.11637,13.13369721,-219.543837,-457.030274,-450.0369728,-451.0565102,-103.4065243,-109.9257451,-101.6058773,-1022.723317,409.7750783,-401.0749608,14.69596638,-1865.077466,1499.937475,-2511.310279,2339.069694,-2506.616712,2012.617737,-2460.450679,1862.448305,-1033.68476,1044.189334,-725.4630327,1916.789114,-688.2501394,2791.543305,-747.5724816,2840.064466,-1547.049731,2287.699431,1044.189334
15.5,-1825.553179,-1750.002503,-1746.028215,-1750.989705,-1731.551141,-1727.809459,-1731.286943,-728.4679264,-737.1056825,-1367.147863,-1374.576688,-141.9928949,-257.1608126,-2878.715396,-2378.132045,-4553.945065,-4161.739349,-4599.373341,-4203.011394,139.3632498,-141.4036099,-50.80729723,-363.516286,973.5112637,323.0957687,1022.140682,258.192122,-9.069983498,-959.1023624,-41.40360989,-5814.626813,-6182.142496,-6184.351444,-6185.948253,-6196.367741,-6205.524802,-6217.414737,-6141.088009,-6303.151846,-5621.334314,-5645.349622,-4670.099914,-4850.092828,-4756.376445,-5301.981568,-5917.921662,-6390.98227,-6063.326001,-6504.198909,-29.93901027,24.68487713,3954.726458,3833.306134,7589.191794,7653.511167,8041.514754,8146.772981,8399.037123,8429.617882,24.68487713,-389.5028308,-620.4697862,-613.694042,-616.4013594,-263.9009431,-271.8620189,-264.7055313,-1163.747534,294.8218957,-569.152832,-142.9092232,-1942.915618,1275.860071,-2855.79145,2156.021893,-2992.920876,1760.188788,-2958.408296,1592.018306,-1028.393432,1037.955135,-687.5974685,1575.859636,-483.0248654,2230.982631,-529.0203169,2252.619714,-1327.83547,1648.977101,1037.955135
16,-1561.476588,-1516.10285,-1512.337327,-1517.172903,-1494.295597,-1489.703655,-1493.797749,-517.838113,-528.3534154,-1103.811711,-1114.505753,-7.512228913,34.73569173,-2826.386988,-2359.337211,-4403.618872,-4139.313102,-4385.401607,-4182.322919,133.2714036,-134.6866786,-73.0261812,-96.08680382,909.4550461,802.3112267,985.0447625,783.1791043,20.32938413,-56.24081939,-34.68667865,-5782.854557,-6148.349643,-6150.856614,-6152.939796,-6166.484356,-6175.717711,-6187.755466,-6133.947968,-6302.549243,-5601.495504,-5629.059672,-4771.432281,-4905.301332,-5067.278743,-5344.312787,-6404.27649,-6511.73532,-6544.626951,-6642.633677,-32.34606469,26.7964066,3973.403275,3860.100508,7629.243731,7711.156011,8083.478212,8181.59461,8371.3305,8463.857174,26.7964066,-322.2562745,-561.2904951,-554.7321215,-556.4042553,-204.9399912,-212.0293118,-205.2801289,-1109.346375,353.4397483,-496.285148,-72.76210468,-1923.39316,1325.608492,-2794.681489,1995.986253,-2681.638896,1379.618496,-2627.293468,1215.331405,-1019.205004,1028.686762,-516.6609958,1583.144218,-193.6176978,2202.925682,-218.7897824,2231.475711,-994.3933785,1657.065153,1028.686762
16.5,-1536.477208,-1494.221985,-1490.540057,-1495.206207,-1474.210173,-1469.569951,-1473.775506,-508.5816607,-528.2412097,-1085.850224,-1100.208685,19.18298542,23.72791292,-2780.112624,-2372.149825,-4414.980412,-4260.787666,-4375.25034,-4295.7744,130.8131963,-131.9002826,-87.64201775,-63.59643303,894.5999295,870.5218881,978.3060104,854.5205742,23.73420401,-12.63077138,-31.90028258,-5769.431591,-6134.508252,-6137.12132,-6139.020324,-6161.752939,-6170.588732,-6182.441711,-6122.789979,-6308.827996,-5585.599542,-5620.20123,-4796.203673,-4932.619035,-4930.62377,-5304.530263,-6109.552979,-6366.024613,-6247.612834,-6486.212611,-32.07341535,26.40466904,3988.191783,3856.199682,7642.691731,7663.660049,8091.852665,8120.216131,8341.667056,8407.869935,26.40466904,-277.6818722,-516.3916945,-509.4661936,-511.3339052,-164.3911377,-171.2758839,-165.0068164,-1051.271185,393.2024911,-444.6246475,-26.0611088,-1893.339902,1355.507523,-2729.222178,1951.0445,-2553.339303,1217.464879,-2499.222457,1052.222624,-1012.04358,1021.395251,-482.8679562,1584.21427,-148.4219637,2216.349691,-171.7296802,2246.173471,-924.3749827,1686.941832,1021.395251
17,-1631.95312,-1623.448879,-1619.62986,-1624.332964,-1612.924635,-1608.110368,-1612.395048,-685.9519333,-724.9644399,-1171.3548,-1193.575487,-24.31569854,-160.2418348,-2791.087925,-1534.097344,-4608.062804,-2520.861626,-4606.455863,-2490.451187,92.14966558,-93.60009804,-605.096966,-105.8507431,872.6856858,850.501433,972.0383584,852.3777127,76.68167353,41.5273197,6.399901956,-5476.824641,-5843.535662,-5845.22903,-5848.077536,-5855.157375,-5864.611268,-5876.131654,-5968.22083,-6123.738289,-5361.537933,-5390.542746,-4741.655588,-4679.957926,-4661.277831,-3234.116733,-5128.744841,-1817.774475,-5219.064355,-1812.271327,-32.78587013,27.13755472,3957.556486,3799.808323,7484.936118,7497.327924,7905.174494,7949.380875,8358.902931,8352.612853,27.13755472,-251.2648143,-486.7408797,-481.1940342,-482.2985455,-128.696952,-136.117246,-129.8045181,-1049.714908,421.9726846,-436.8427768,-5.686847144,-1896.790415,1323.516816,-2796.005607,2002.922148,-2675.459683,1471.174955,-2612.456977,1322.40817,-1004.33059,1013.686284,-677.2632897,1461.132318,-471.6937989,1924.634278,-491.1745712,1944.777817,-1050.254032,1424.54192,1013.686284
17.5,-1770.855784,-1842.647195,-1838.286072,-1842.928678,-1800.426543,-1796.110421,-1800.656468,-948.6363828,-876.4156699,-1308.280975,-1289.327294,-272.1917257,-119.2470733,-2676.683664,-1594.91986,-4808.367789,-4239.796698,-4847.427607,-4374.263287,-3.176233731,1.874751615,-666.5408611,47.38624673,475.8346826,1141.815707,594.6905911,1171.805412,-426.5612364,210.3998326,101.8747516,-5348.001122,-5703.598857,-5705.688596,-5709.07712,-5712.862611,-5722.107887,-5734.095573,-5883.604288,-6048.704386,-5269.119143,-5296.465755,-4669.255018,-4642.50356,-3832.283616,-3684.239984,-3965.623677,-3462.761641,-4083.366394,-3517.879248,-29.56909593,23.81738974,3957.142532,3834.516406,7703.543305,7659.878135,8156.79431,8146.237135,8386.470079,8591.812849,23.81738974,-158.4778912,-406.9624469,-401.2949765,-400.8926824,-43.31601318,-49.99632016,-42.19629802,-1033.347398,457.4585706,-365.6948358,73.14612623,-1891.05466,1349.508762,-2687.55734,2178.738862,-2247.129232,1814.215183,-2153.62221,1671.543717,-1011.140421,1020.373926,-1027.201265,1625.698656,-1306.929886,2050.039619,-1388.125569,2072.626203,-1998.932958,1805.967689,1020.373926
18,-1703.761965,-1825.673729,-1821.505129,-1826.001108,-1784.316599,-1779.938638,-1784.811467,-958.7295353,-892.4587071,-1217.005849,-1206.197962,-3.295362985,-153.3847954,-2104.69529,-2073.990554,-4295.198619,-4532.567561,-4420.266449,-4672.128558,62.93800194,-63.45686037,-145.9000818,-50.51039159,646.9222158,967.0294076,719.9726999,961.3291174,-264.7159435,-272.6931125,36.54313963,-5365.222692,-5721.98987,-5724.164248,-5727.363825,-5730.445385,-5740.100741,-5752.248764,-5909.93762,-6059.30984,-5280.995965,-5309.270024,-4696.033001,-4659.781754,-3424.787819,-3415.045738,-3165.308535,-2959.839106,-3273.545802,-3020.482361,-25.06037476,18.82795943,3948.009014,3829.610646,7750.709057,7768.063545,8214.481473,8268.351555,8351.647258,8604.434133,18.82795943,-64.13063966,-304.0533885,-297.5037321,-297.9198843,57.90191237,51.55494437,60.50453987,-947.9978681,561.4388362,-279.5075439,166.1865413,-1827.228516,1514.066011,-2528.153956,2314.19608,-2418.905795,1901.329458,-2341.758907,1753.023714,-1003.506258,1013.145149,-975.8044034,1581.316888,-1115.506068,1943.221688,-1164.106131,1950.395703,-1770.314425,1554.233432,1013.145149
18.5,-2156.768143,-2357.206345,-2352.519333,-2356.840521,-2312.199622,-2306.634933,-2313.017249,-1541.32098,-1488.731652,-1650.803238,-1640.869826,-456.744954,-464.9826139,-2243.12827,-1983.748972,-4386.935234,-4367.667139,-4545.325339,-4499.077797,73.14696908,-73.02887738,-179.8416488,-104.3134741,604.3813005,838.977918,689.3705577,842.3683047,-284.8070115,-322.4576637,26.97112262,-5081.905127,-5437.574983,-5440.241694,-5444.422364,-5430.067182,-5439.801812,-5452.805758,-5819.786787,-5901.340842,-5106.51052,-5106.129646,-4731.298387,-4552.090466,-3139.540851,-2718.258798,-2498.473674,-1737.14757,-2553.163767,-1749.380827,-27.44284924,20.75880766,3966.619074,3825.848103,7760.328054,7767.907977,8220.784664,8262.864351,8355.095387,8631.544709,20.75880766,8.465360734,-227.462519,-221.1340331,-221.8525112,125.8011442,120.4701979,130.0809439,-891.5300667,611.2160906,-214.4416794,229.9422212,-1793.919653,1559.872627,-2431.364208,2360.302359,-2320.627421,1997.693777,-2247.276008,1860.868335,-999.7048229,1010.43582,-649.4578719,1566.742808,-511.9595677,1949.773282,-562.340878,1956.891865,-1244.678646,1525.270641,1010.43582
19,-2397.29166,-2645.447254,-2641.015053,-2645.460963,-2587.098479,-2582.159638,-2588.006854,-1894.869208,-1790.840626,-1900.203973,-1876.603812,-823.5814422,-600.4643813,-2526.539862,-1749.150008,-4511.564672,-3844.300807,-4671.836197,-4009.017944,62.87647877,-62.34588567,-205.2495815,-139.5732816,597.2968787,712.2624665,678.5397232,700.8756697,-368.531011,-553.6055565,37.65411433,-4825.218022,-5165.341496,-5168.613195,-5172.897577,-5157.133937,-5167.284012,-5180.105567,-5640.960336,-5711.328983,-4904.246926,-4900.175333,-4687.820375,-4441.488683,-2761.586905,-2309.669256,-1528.334469,-703.3000141,-1516.786218,-649.8060375,-30.84745957,23.92073395,3930.32819,3792.905211,7704.264522,7734.174132,8160.95531,8234.296441,8199.124336,8556.836247,23.92073395,67.13627838,-164.0078798,-157.3002525,-158.4622823,187.058188,182.4568212,192.0151338,-853.5826951,642.9368258,-166.243203,277.5714546,-1777.676791,1609.786898,-2433.606833,2343.902439,-2502.554655,1936.02398,-2432.281226,1796.035767,-998.7674654,1009.840965,-742.5813377,1743.452698,-769.5727795,2171.29305,-843.7398821,2184.131145,-1531.014293,1851.882935,1009.840965
19.5,-2639.969885,-2893.569469,-2889.452875,-2893.725336,-2848.555446,-2844.225764,-2849.821448,-2149.808705,-2107.995003,-2149.430215,-2141.436338,-1048.518121,-822.6165175,-2411.486208,-1636.073291,-4005.200565,-3347.090483,-4164.467454,-3474.716842,32.89608285,-32.76703414,-393.4308514,-84.00671184,546.0533127,691.1172718,630.7803094,665.2598083,-589.6361917,-575.7318437,67.23296586,-4647.395015,-4983.693063,-4987.097681,-4992.016852,-4978.652596,-4988.874495,-5001.159906,-5520.851016,-5599.091649,-4758.6146,-4756.492674,-4573.982954,-4386.015236,-2318.134755,-1909.828782,-802.49466,-77.517014,-754.2067766,-2.404886181,-29.46702065,22.47279976,3919.56985,3777.970076,7673.403025,7685.507536,8121.584058,8179.292679,8192.505836,8459.271789,22.47279976,-16.46065502,-241.4673939,-234.9441685,-234.9482663,108.0357935,102.948295,111.7321197,-900.9320289,580.1126733,-235.9053306,203.1451464,-1813.468039,1590.00352,-2435.606718,2149.428725,-2341.803014,1432.856619,-2279.039919,1289.570779,-1007.381007,1019.652188,-792.1452075,1851.568669,-862.3218536,2400.94915,-939.6886826,2428.275794,-1645.485163,2082.187384,1019.652188
20,-2927.84363,-3160.070181,-3156.3434,-3161.007464,-3120.120764,-3116.537333,-3122.676313,-2405.662984,-2389.635444,-2447.66891,-2446.335405,-1290.918887,-1086.288765,-2388.942987,-1599.843353,-3778.497577,-3247.261643,-3912.911117,-3367.353082,15.55687166,-16.00653399,-414.8855805,-81.98074065,550.381802,625.5722791,640.2716786,588.4742364,-550.4374579,-633.5805357,83.99346601,-4633.693099,-4966.37255,-4970.020652,-4974.765182,-4970.805943,-4981.299043,-4993.405938,-5478.66106,-5591.425896,-4731.327295,-4740.476012,-4480.458796,-4389.950037,-2055.465877,-1905.750185,-517.161116,-166.5927842,-468.5967043,-98.8671463,-25.83011985,18.79921532,3850.76642,3748.439252,7585.682869,7661.129832,8027.573228,8157.13048,8160.414696,8442.809582,18.79921532,-198.4133013,-426.5328869,-420.2200845,-419.2890599,-81.7183964,-87.54555136,-79.2423822,-1044.187993,399.6097296,-400.9428993,28.25748641,-1899.271011,1459.711194,-2428.883612,1933.266371,-2141.825408,1192.500964,-2085.111737,1046.263725,-1007.963866,1020.329371,-790.2403176,1903.283,-744.7246462,2539.775968,-804.2952418,2571.727931,-1443.924308,2237.841487,1020.329371
20.5,-3052.745759,-3258.017898,-3254.37963,-3259.41354,-3216.053545,-3212.836087,-3219.285905,-2484.368831,-2457.238734,-2576.730847,-2570.663095,-1425.208449,-1141.964197,-2391.970009,-1621.739864,-3768.803477,-3192.3002,-3892.767131,-3298.434913,5.783227971,-6.957523874,-515.0490999,-78.23595777,274.5159715,498.1407151,333.2625329,434.736535,-916.2183106,-875.4825592,93.04247613,-4666.591287,-5000.399947,-5004.15504,-5008.60393,-5006.856918,-5017.410517,-5029.497147,-5483.673811,-5605.498552,-4749.619961,-4761.588871,-4441.018105,-4393.651783,-1982.251704,-1898.691207,-491.2095517,-144.1963203,-447.6805776,-76.42892655,-26.05364192,19.06188438,3835.59972,3756.762743,7599.904537,7717.020512,8050.432205,8219.583631,8153.207898,8442.287445,19.06188438,-181.1714843,-415.4137522,-409.046486,-408.2031548,-68.24732292,-74.12672043,-65.51789586,-1036.789641,411.2004116,-385.1661459,45.29912956,-1895.188242,1481.365412,-2323.520184,1931.138337,-1807.745844,1206.694469,-1744.526029,1058.600396,-1008.895934,1021.323651,-870.1056987,1779.468209,-895.2890337,2114.523947,-968.5990959,2106.666714,-1630.249172,1755.77879,1021.323651
