Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,RPSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-5256.003141,-5504.748225,-5505.177975,-5509.326458,-5496.297479,-5500.165224,-5516.625047,-4764.447808,-4892.598987,-4796.920717,-4809.938669,-3348.83064,-3521.007597,-3952.77977,-4077.053368,-4896.224439,-4866.808653,-5049.812198,-4914.290905,46.82288971,-54.70121745,-3309.546709,-3609.056771,-838.8161659,-1074.930653,-587.1110409,-847.4399894,-1875.573397,-1803.408712,45.29878255,-1179.255694,-1437.176466,-1442.777514,-1435.8823,-1432.120353,-1437.482983,-1439.577043,-2105.648071,-2098.595798,-1383.341998,-1357.807219,-1400.721073,-1657.02045,1192.78118,856.5623313,3502.323031,3385.356069,3572.082222,3516.417146,43.64714026,-44.59327087,772.5028694,289.3465757,3704.976141,3284.489512,4077.716768,3715.618849,4762.766063,4531.686008,-44.59327087,-1536.899209,-1754.915714,-1746.899337,-1749.59451,-1444.381177,-1453.385502,-1444.874555,-2161.47095,-827.7731389,-1674.852967,-1273.104548,-2776.443064,477.2743583,-3311.630189,831.4292878,-3239.863515,665.6057388,-3156.083822,466.4103314,-982.9965234,996.4001179,-1393.953115,2022.380084,-796.9083637,3364.909291,-771.1385936,3501.637578,-736.3514602,3888.973594,996.4001179
5.5,-5251.525044,-5481.051803,-5481.548309,-5485.578179,-5488.638282,-5492.732525,-5508.71253,-4748.589993,-4927.725494,-4783.36513,-4829.81503,-3337.705135,-3561.063707,-3854.710162,-4025.871754,-4745.062292,-4772.226512,-4897.943437,-4820.829928,47.76769783,-55.64758088,-3301.104605,-3366.679549,-921.2130308,-1028.407887,-675.8151203,-818.3994889,-1924.141645,-1775.844991,44.35241912,-1465.094388,-1787.605286,-1792.842299,-1784.156412,-1665.277928,-1671.410352,-1669.814438,-2425.606996,-2268.450558,-1617.345661,-1428.677142,-1544.281989,-1748.583615,1037.716046,769.0253109,3364.911973,3255.750537,3447.827995,3385.976255,31.31340491,-31.87165363,690.7398254,265.941862,3709.855676,3356.895745,4081.388116,3801.634312,4763.213396,4599.992335,-31.87165363,-1863.870174,-2004.975528,-1995.572597,-1998.336315,-1735.342592,-1745.390147,-1734.578311,-2122.448236,-911.1758322,-1857.19803,-1520.311385,-2727.220356,526.3414979,-3252.005577,905.2193165,-3154.714108,666.2138551,-3044.896424,459.8652199,-982.0287675,995.1130301,-1294.441372,2157.707661,-376.0151565,3218.049705,-327.238515,3318.730295,-309.2985786,3607.048094,995.1130301
6,-5430.678129,-5545.685887,-5548.166037,-5551.096797,-5551.760793,-5555.878878,-5572.574139,-4673.056901,-4838.64367,-4952.994585,-4979.283214,-3445.495665,-3487.899601,-3852.760494,-4054.364562,-4648.173153,-4835.998714,-4802.753925,-4882.236123,-34.62948604,25.04798118,-3209.020197,-2839.125693,-1100.985557,-1179.851815,-894.8227018,-1062.936932,-2113.372535,-2084.438801,125.0479812,-1846.994311,-2168.772817,-2173.646837,-2165.5038,-2198.412716,-2205.200046,-2206.792086,-2587.859631,-2814.174891,-1882.335842,-1908.612996,-1615.068316,-1806.414276,930.9241176,715.5232877,3275.171816,3164.118826,3367.485702,3278.091848,22.98943698,-23.61407736,1669.123471,1663.248688,4892.543554,4947.858751,5268.425941,5386.736989,5723.189116,5986.161828,-23.61407736,-510.4179308,-772.081688,-762.4708861,-763.8467103,-452.1582648,-460.4712874,-448.8485679,-1290.24744,61.90753542,-685.0660592,-277.5406465,-1940.800548,1220.596656,-2192.378193,1666.471362,-1734.507382,1424.990892,-1590.487808,1247.324273,-994.5806116,1008.674502,-921.850875,1819.517612,186.5373366,2557.591498,264.1665749,2625.180483,248.715207,2731.295228,1008.674502
6.5,-5753.732324,-5858.67703,-5861.157179,-5865.84568,-5841.202736,-5845.071077,-5861.691833,-4924.857914,-5005.815625,-5278.822184,-5277.994275,-3512.954712,-3665.712774,-3603.262007,-4023.050666,-4284.148514,-4707.837999,-4448.590875,-4739.913046,29.84439023,-40.79379607,-2087.073624,-2806.611359,-1431.052536,-1768.756807,-1377.754807,-1722.095609,-2898.985445,-2785.988152,59.20620393,-1689.584702,-2015.868276,-2020.427734,-2013.618797,-2063.572705,-2070.914805,-2071.381211,-2522.176802,-2760.685086,-1786.223203,-1829.047501,-1705.353558,-1690.518856,799.4172722,786.8002355,3143.615425,3297.80072,3262.373805,3413.152099,-63.16471379,61.69157103,2961.986661,2887.501717,6530.747414,6273.722053,6933.975816,6723.012328,7247.180343,7310.426235,61.69157103,-395.4618052,-637.5300139,-627.8014183,-628.1565875,-267.2778629,-273.7299167,-265.8678964,-1206.91143,318.5756877,-590.1994184,-138.3823249,-1977.466643,1461.336613,-2334.894389,2020.773292,-1934.300065,1658.96982,-1825.888455,1494.899839,-1077.939048,1096.088663,-1145.720705,1138.76611,-699.4154304,2166.027725,-695.9035993,2244.262546,-1187.918335,2066.189796,1096.088663
7,-5738.918185,-5871.875882,-5873.981714,-5878.855586,-5859.956145,-5864.631534,-5879.502892,-4944.811165,-5042.065382,-5253.478289,-5259.60207,-3463.551104,-3724.173307,-3334.173858,-3995.308578,-3968.093395,-4558.480978,-4132.813215,-4595.625103,132.7978354,-142.5729319,-1322.905421,-2599.638402,-314.1290322,-1637.949198,-217.7992277,-1604.651213,-1576.338112,-2601.492405,-42.57293195,-1863.740534,-2205.843627,-2210.09165,-2204.547077,-2228.860855,-2236.750275,-2239.122093,-2792.393863,-2928.064764,-1992.694288,-2017.49891,-2164.906412,-1736.069173,299.0956046,655.8731943,2840.537429,3260.067999,2995.488644,3378.326297,-117.642777,117.7964639,3421.540856,3294.9242,6921.564341,6466.681957,7317.174673,6902.239919,7887.585759,7623.912096,117.7964639,-318.2589263,-535.672605,-526.8262699,-526.121743,-170.4978198,-176.7667942,-169.5925556,-1052.228138,457.3967308,-496.3495582,-50.13850052,-1863.99579,1548.613757,-2318.879515,2128.733546,-2016.387582,1713.885665,-1956.444383,1546.81772,-1085.535735,1103.406325,-1621.406227,1148.631871,-1672.624648,2187.488824,-1720.572412,2253.933996,-2425.43906,2081.010044,1103.406325
7.5,-5613.272786,-5801.073909,-5802.630782,-5807.949305,-5783.495307,-5787.690878,-5802.258253,-4929.724038,-4991.274476,-5127.42579,-5131.71196,-3380.946219,-3658.470213,-3334.165812,-3718.631566,-4039.423764,-4228.967726,-4187.935889,-4251.224399,197.4448003,-206.3033171,-1568.630189,-2460.932583,-881.9560707,-1974.175423,-868.9399809,-2018.091381,-2435.273379,-3218.834698,-106.3033171,-2509.078085,-2800.148726,-2804.704309,-2800.368965,-2819.315195,-2827.446461,-2831.332982,-3369.773924,-3493.838906,-2651.31861,-2669.970095,-2637.820244,-2417.899966,-146.2428365,9.507508948,2211.868912,2573.923171,2336.145192,2695.198357,-116.7953014,117.470352,3475.76946,2917.298973,6883.121729,6211.589575,7278.068066,6676.350832,7691.808939,7339.596748,117.470352,-228.4433134,-410.5591774,-402.953811,-399.3857279,-56.18085619,-61.81856617,-57.40399007,-957.4182332,467.7081853,-415.8309847,9.315238567,-1827.620268,1539.017707,-2210.359424,1993.145943,-1864.657253,1375.719011,-1778.968275,1202.745214,-1083.527729,1101.087183,-1502.324641,1797.175556,-1425.902992,3242.245615,-1466.962397,3333.738744,-2055.266052,3279.521763,1101.087183
8,-4736.052752,-4947.511554,-4947.324693,-4953.454137,-4936.838448,-4940.592945,-4952.0877,-4146.669805,-4268.699586,-4265.426695,-4285.016358,-2607.756257,-3038.866818,-2568.618655,-3078.641593,-3532.687724,-3885.852098,-3685.24164,-3938.115239,214.898549,-222.9406871,-922.0907837,-2016.700208,-306.2662669,-1165.688634,-259.6737631,-1145.034656,-1929.029077,-2371.975183,-122.9406871,-3383.046985,-3699.288368,-3703.029156,-3702.173233,-3710.389137,-3720.674813,-3726.64094,-4283.943772,-4381.709993,-3513.520062,-3522.928655,-3358.09499,-3215.36541,-749.1265982,-758.3386451,1487.247646,1615.213901,1586.578786,1714.522392,-95.41527368,95.81907652,3912.689686,3259.35334,7366.096377,6614.114642,7777.985334,7095.148563,8060.322404,7734.925747,95.81907652,-58.18643142,-248.6392856,-240.1380241,-238.8309874,93.56215596,87.24359795,94.83423084,-769.5416361,640.3686106,-241.7229861,174.3097417,-1675.266474,1707.094014,-2046.101391,2217.97362,-1577.253491,1630.501151,-1478.472799,1469.342262,-1077.449247,1094.032004,-1303.743124,1315.587759,-1269.571632,2507.958114,-1313.065588,2573.470175,-2020.534724,2294.819504,1094.032004
8.5,-3510.365188,-3676.006198,-3675.190806,-3680.719733,-3662.296534,-3662.60916,-3672.066033,-2814.294398,-2923.24096,-3028.682768,-3051.825762,-1496.696025,-1884.239167,-1358.069181,-1688.557267,-2508.738339,-2663.342357,-2672.818899,-2752.637863,206.4162679,-213.0676247,-332.3329985,-251.1028759,763.9792562,448.4559596,851.1710912,412.2553766,-484.1899127,-940.3786808,-113.0676247,-4698.877633,-5021.201968,-5024.952888,-5027.084947,-5042.312145,-5054.588318,-5063.771009,-5483.754277,-5642.496943,-4770.075381,-4789.671302,-4446.403682,-4317.065179,-1950.998902,-1814.277023,37.95463825,337.9949555,129.3321606,428.8449883,-37.68996801,35.38015764,4163.53792,3611.083329,7736.898065,7210.387588,8158.748746,7712.877989,8212.864995,8016.02304,35.38015764,-153.9720688,-346.1102769,-337.0913863,-335.1813927,-4.462404468,-10.95815795,-2.124969178,-815.8121258,568.6971545,-331.5586597,85.69044061,-1728.663445,1637.173593,-2151.327133,2147.447169,-2027.518749,1272.233427,-1993.696541,1097.226441,-1030.193344,1045.550928,-1156.929582,1648.906469,-1130.919382,2626.262605,-1219.717562,2671.871781,-2023.103684,2239.781767,1045.550928
9,-2553.316951,-2653.936446,-2650.490105,-2655.750811,-2646.97969,-2644.16784,-2651.212811,-1731.755435,-1845.989227,-2067.333907,-2098.592073,-550.943166,-897.9447186,-307.7493794,-776.3263583,-1899.041831,-2017.444521,-2110.576332,-2121.42393,179.7391288,-183.3239384,-85.5484046,214.9507217,1156.885549,984.4673425,1259.837896,939.0829504,-13.91719794,-418.3394089,-83.3239384,-5169.55018,-5510.511994,-5514.523387,-5519.098043,-5522.428155,-5533.356667,-5545.076728,-5875.791907,-6007.701159,-5189.363956,-5201.390386,-4694.160223,-4612.68425,-2340.497673,-2104.605287,-759.9024475,-349.7990221,-716.2675261,-275.6136283,-17.13533304,12.95672613,4087.877572,3774.661422,7746.604681,7601.191998,8184.836507,8111.233711,8393.993974,8404.67751,12.95672613,-442.7715763,-676.6488403,-669.9911505,-671.3556498,-317.616947,-322.9923546,-315.133743,-1199.674457,302.7829155,-612.4136969,-166.3368382,-1910.790652,1390.41841,-2363.26769,1865.474135,-2195.084393,988.4557873,-2149.549127,818.0207014,-996.1199015,1010.577753,-941.645056,1858.991683,-956.1705589,2687.155604,-1054.532826,2722.251713,-1957.346201,2211.247385,1010.577753
9.5,-2365.916669,-2530.684471,-2525.703013,-2529.824674,-2516.179681,-2512.204647,-2518.220842,-1659.70996,-1739.332378,-1865.979135,-1890.824586,-413.0146652,-616.7871132,-304.4949658,-438.4452105,-1689.794213,-1645.077467,-1893.088222,-1748.540998,158.4099606,-159.4828442,-113.5592628,223.3221382,1056.56758,831.3630521,1167.698875,786.1743867,-49.89191424,-491.2596568,-59.48284417,-4930.441976,-5265.089273,-5268.597603,-5274.413228,-5272.562504,-5282.743573,-5295.11869,-5703.271031,-5825.948119,-4989.311099,-5000.072122,-4623.152912,-4547.569156,-2330.481261,-2040.363401,-704.5565546,-210.0628056,-620.2269346,-93.21569465,-12.06970424,6.849582423,4116.828144,3856.107295,7821.275592,7816.133499,8264.312148,8322.152495,8564.446568,8678.82669,6.849582423,-570.5222115,-812.2921735,-807.1316034,-807.9364896,-444.0407082,-449.3505508,-439.2515868,-1414.418966,161.1583494,-774.0838826,-310.7962199,-2091.941983,1189.15163,-2500.842214,1664.256155,-2177.710235,904.6053886,-2125.981003,734.1936976,-980.1181406,994.1345453,-767.428726,1951.21631,-648.1776386,2613.683641,-734.5014811,2632.548213,-1636.868268,2114.507705,994.1345453
