Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1210.26881,1002.267078,1006.373242,997.8800267,918.6730534,929.2053431,920.9194779,165.9319364,-135.3516802,920.6890315,851.1830121,-93.3374837,-614.8423254,-382.1085766,-1023.637578,668.3922559,-706.08899,811.901018,-634.1805309,375.6773099,-377.1459311,6.567849778,15.22165374,-87.09696122,-161.1771248,-5.266664666,-172.7538742,1070.65469,991.0982847,275.6773099,-6738.212705,-7111.976743,-7116.960883,-7124.072909,-7043.520808,-7052.233815,-7066.437602,-7058.729529,-6802.98686,-6517.558694,-6435.557604,-5287.368894,-5285.923481,-4473.491907,-4746.012688,-4934.782982,-5517.272353,-4944.296777,-5554.848909,-27.33630827,19.31180363,4118.036926,3818.652332,7576.671839,7624.166608,8045.448065,8096.062541,8646.774292,8552.91605,-27.33630827,-927.4886549,-855.1217616,-844.2889154,-841.9535309,-1127.717271,-1129.150242,-1126.992032,-68.73743143,-1470.734924,-614.0770018,-996.7603534,1168.447062,-2034.159005,3829.291463,-4038.590491,6221.795678,-5872.219205,6217.058897,-5898.165703,1046.074405,-1027.683914,1918.126047,-1337.488443,2910.886705,-1432.533115,2906.743586,-1485.632807,2468.159646,-2341.025472,1046.074405
0.5,1218.636408,1016.294807,1020.373851,1011.815891,932.2571754,942.8344667,934.7437322,177.1900617,-125.1973864,924.6889502,855.2952111,-56.43758457,-618.933253,-178.0132577,-1011.848524,978.1248122,-708.1558555,1128.615588,-634.9749863,373.3873367,-374.8368099,8.355724276,15.00591985,-78.46226916,-160.1191796,4.322094319,-171.8400232,1076.736674,979.5032442,273.3873367,-6732.551455,-7108.14178,-7113.157511,-7120.187283,-7040.822506,-7049.494982,-7063.781619,-7056.248784,-6804.240942,-6511.989832,-6431.931853,-5283.908248,-5281.210542,-4351.362586,-4714.279771,-4824.857414,-5563.210845,-4841.923714,-5602.853894,-27.37954725,19.46190489,4120.036662,3818.611801,7582.396865,7623.718977,8051.332831,8095.353246,8646.095991,8536.51166,-27.37954725,-947.4043548,-874.2411435,-863.2782102,-861.1511439,-1145.245582,-1146.541536,-1144.374087,-88.97728287,-1500.123888,-633.2024932,-1015.00921,1123.322397,-2047.981918,3804.157674,-4058.636427,6135.476828,-6002.277732,6122.859716,-6049.402952,1042.299718,-1023.845971,1940.832883,-1342.362165,3016.136587,-1436.550021,3020.77949,-1490.604281,2563.239634,-2366.316319,1042.299718
1,1239.076406,1042.399108,1046.328843,1037.841961,958.0104053,968.6548263,960.8218819,202.078186,-105.9898455,937.2782707,867.7058667,-36.52496729,-625.6669015,-134.5099043,-993.1083024,966.3894027,-746.3674992,1104.295477,-670.6596166,376.550369,-377.9892251,3.578338947,-0.906897185,-68.60482506,-162.1223614,16.39378374,-171.4118198,1077.171937,973.3123332,276.550369,-6703.842878,-7085.657716,-7090.678215,-7097.515464,-7019.817233,-7028.411031,-7042.633891,-7051.683068,-6802.664399,-6489.835382,-6411.194801,-5289.043188,-5270.904899,-4411.006272,-4769.35178,-4899.196625,-5727.247596,-4914.681315,-5770.087838,-29.35012802,21.56307921,4128.796458,3824.884593,7588.546872,7624.310255,8056.077361,8095.30735,8642.429113,8535.829186,-29.35012802,-1007.23289,-931.783691,-920.6249565,-918.8833833,-1199.22556,-1200.313643,-1198.112518,-133.990217,-1526.905596,-689.3244386,-1067.678705,1061.962694,-2061.983794,3733.936548,-4127.681255,6019.85991,-6123.579144,6011.950374,-6179.640293,1033.146307,-1014.873013,1967.040449,-1315.687299,3060.905337,-1348.478347,3066.859841,-1399.310827,2601.758838,-2316.759527,1033.146307
1.5,1248.297542,1056.272835,1060.120985,1051.653996,972.8275985,983.5158288,975.7518768,209.125746,-90.94390087,941.8418258,873.2716739,-36.35206493,-635.804981,-148.7984415,-987.2286022,845.6005901,-746.3335246,968.0918604,-669.9442118,377.7353466,-379.1773692,2.442522673,-2.762479417,-61.71695888,-167.9617539,25.17465735,-177.4090715,1089.36362,972.6699442,277.7353466,-6663.947701,-7052.412033,-7057.352662,-7064.146996,-6988.493204,-6997.126341,-7011.259794,-7043.225169,-6799.282432,-6459.177136,-6383.33559,-5293.154716,-5265.002251,-4446.551204,-4772.09121,-4914.638996,-5723.097324,-4927.674532,-5765.075684,-31.04290459,23.35511614,4129.246473,3821.494877,7586.435676,7622.797489,8053.888083,8093.461394,8634.002805,8531.746268,-31.04290459,-955.2442282,-885.4985237,-874.4193614,-872.6339787,-1155.940369,-1157.223508,-1154.966652,-106.341783,-1508.144736,-642.8042799,-1026.899368,1076.111495,-2038.237303,3746.570349,-4120.539427,6032.122374,-6137.476563,6028.905511,-6190.71126,1031.024233,-1012.828946,1981.991082,-1357.804686,3065.102696,-1511.276364,3070.018888,-1576.366574,2604.035139,-2499.282658,1031.024233
2,1245.576292,1056.126505,1059.939787,1051.531062,972.1966088,982.8410298,975.1226753,209.9039592,-91.54614061,938.9199317,868.5716987,-54.39436063,-654.8260152,-202.0284347,-991.0616279,761.4713907,-746.6583699,882.672891,-670.0588018,377.7553514,-379.1890666,0.072235966,-5.498006358,-56.7643391,-174.4236797,31.19778819,-183.9793101,1101.550907,974.439308,277.7553514,-6642.543077,-7032.499909,-7037.466764,-7044.241428,-6970.204711,-6978.957057,-6993.018389,-7038.72323,-6798.759699,-6444.172263,-6370.331645,-5296.831727,-5264.878869,-4474.981129,-4776.696563,-4965.735078,-5718.564391,-4979.815781,-5759.912133,-31.51156707,23.86223525,4131.351411,3819.409609,7586.990595,7622.418404,8054.568768,8093.022108,8632.526398,8531.904817,-31.51156707,-883.1622452,-812.6283437,-801.6760647,-799.5131612,-1084.877178,-1086.320281,-1083.742902,-35.34062067,-1446.253657,-569.421947,-957.19181,1142.591387,-1984.293312,3802.824616,-4042.519927,6091.628075,-5953.883529,6091.815233,-5991.278887,1031.384394,-1013.238281,1985.487789,-1387.697458,3025.012314,-1605.590433,3023.835719,-1674.851477,2573.593259,-2565.869391,1031.384394
2.5,1255.130321,1061.13188,1064.922959,1056.530103,984.8074615,995.3844547,987.6134247,205.2543312,-73.46251048,942.1565384,880.5719018,-70.34173235,-655.258894,-251.8538386,-982.7517718,659.0912491,-734.5945388,777.2227377,-662.8064811,373.9907593,-375.459455,2.18414425,9.475537227,-55.9255667,-173.7655513,32.4459793,-183.6972497,1115.371957,993.3964163,273.9907593,-6642.035246,-7031.91638,-7036.876678,-7043.637633,-6969.258785,-6978.032589,-6992.093325,-7039.154172,-6799.85106,-6443.59827,-6369.664073,-5301.715732,-5264.541507,-4490.013123,-4763.683379,-4988.746643,-5693.386197,-5006.103516,-5738.890767,-31.89733718,24.28595209,4128.489196,3817.422092,7586.838603,7623.577118,8054.634929,8094.673753,8629.880548,8531.643748,-31.89733718,-801.4405519,-739.0413433,-728.2207161,-725.9211689,-1017.305851,-1018.850803,-1016.326547,0.182282329,-1426.075846,-500.5851015,-895.1742202,1178.849488,-1971.216947,3859.79265,-3992.536962,6153.161526,-5861.041546,6155.256629,-5894.737244,1033.125445,-1015.029624,1975.728869,-1413.371861,2983.802855,-1689.970344,2979.746163,-1764.485389,2540.335059,-2642.127872,1033.125445
3,1269.399375,1071.573719,1075.475886,1066.997275,1003.891528,1014.481038,1006.563827,183.6801507,-41.99357703,949.4725615,897.8357911,-106.9938485,-642.1345472,-377.8422996,-985.1434827,557.5620756,-694.5329905,684.3457371,-617.7895144,365.4436022,-366.8931127,-0.721948891,29.50092778,-52.89581139,-170.3948528,35.78751814,-181.7914657,1119.845286,999.8329729,265.4436022,-6655.899286,-7043.617368,-7048.587203,-7055.268288,-6980.050802,-6988.871098,-7003.000379,-7043.577433,-6804.161072,-6453.860402,-6379.592419,-5308.169723,-5271.000862,-4534.319341,-4774.344265,-5024.018884,-5644.287467,-5039.535165,-5690.307021,-32.49195172,24.90957268,4126.775563,3814.434111,7586.258054,7626.350522,8054.230213,8098.141551,8627.650142,8532.248139,-32.49195172,-773.164928,-714.3057883,-703.5181671,-701.2801617,-994.4747388,-995.9414601,-993.6054051,-0.573251164,-1443.416178,-477.2363231,-874.210149,1172.697544,-1990.88648,3878.875971,-3998.870254,6250.763535,-5872.368217,6253.277659,-5909.346342,1035.216674,-1017.054021,1961.702406,-1403.170973,2970.686555,-1618.051678,2966.952324,-1682.473123,2534.505427,-2541.530132,1035.216674
3.5,1280.000955,1077.69601,1081.581563,1073.088497,1014.466435,1024.940088,1017.088965,173.8335192,-29.45076907,954.5496851,910.4574472,-98.86441752,-642.8093463,-316.2451833,-978.7100554,607.6020747,-688.4086132,723.0754942,-612.9794195,364.0740737,-365.591459,2.674424322,44.20051351,-48.83668851,-166.4246805,41.31449852,-177.6409894,1135.660186,1012.02786,264.0740737,-6664.227247,-7051.277161,-7056.213021,-7062.872052,-6986.988783,-6995.83292,-7009.945512,-7044.615149,-6805.91464,-6458.609104,-6384.130716,-5308.461189,-5270.35296,-4569.194019,-4775.778055,-5117.030144,-5680.301189,-5137.15446,-5729.725957,-32.71665191,25.16614739,4126.161337,3813.710511,7590.286732,7629.672289,8058.610559,8102.017045,8617.764711,8527.48394,-32.71665191,-770.509243,-714.2654806,-703.5551965,-701.3189793,-994.6150333,-996.0465133,-993.8745946,-3.011107619,-1450.688839,-477.5708541,-874.0985394,1157.419086,-1992.413551,3849.288523,-4006.256759,6155.508161,-5922.794342,6153.680086,-5966.392159,1034.989208,-1016.824841,1960.483193,-1399.368942,2963.239253,-1614.268273,2958.862185,-1679.003984,2530.069947,-2540.727556,1034.989208
4,1308.846325,1111.210734,1114.872992,1106.549352,1043.53264,1053.900048,1046.234667,223.908443,-1.400008914,989.0642017,938.5154396,-64.64045029,-620.8639964,-247.5158125,-926.3090789,664.6139175,-680.5494428,773.8567889,-607.6624617,363.5108098,-365.0501743,43.04675851,68.98025982,-23.81760161,-140.1396748,69.3424046,-147.6740558,1184.13344,1069.560498,263.5108098,-6658.211946,-7046.643496,-7051.537037,-7058.170438,-6982.405782,-6991.28449,-7005.310059,-7043.027282,-6804.636717,-6453.600526,-6379.050016,-5309.917927,-5269.141793,-4574.126005,-4796.745181,-5120.302439,-5748.000145,-5135.466456,-5788.645148,-33.04143669,25.59110057,4118.877053,3809.042871,7585.064769,7625.58043,8053.656816,8097.633123,8590.58857,8502.594233,-33.04143669,-781.7573845,-724.1392881,-713.4448737,-711.2637907,-1002.732664,-1004.203483,-1001.942158,-4.753903777,-1439.429969,-486.9735241,-881.2734485,1150.77883,-1976.276189,3799.487054,-3999.388814,6006.424427,-5890.87069,6004.226804,-5934.503078,1032.23145,-1014.192104,1957.546622,-1409.461498,2939.676046,-1651.206464,2931.493521,-1721.39138,2504.3571,-2593.304813,1032.23145
